,CMPLNT_FR_TM,RPT_DT,OFNS_DESC,BORO_NM,Lat_Lon
5489327,14:39:00,03/14/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.631766312, -73.887299705)"
5490220,22:07:00,03/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.880398548, -73.863853651)"
5490271,20:23:00,03/13/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.64480152, -74.005269715)"
5491754,12:20:00,03/12/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.586104414, -74.162630773)"
5492675,20:45:00,03/11/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.6928309, -73.758149574)"
5494010,23:30:00,03/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.671657217, -73.958198788)"
5494836,02:06:00,03/10/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.590091841, -74.094684252)"
5495495,21:57:00,03/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.851111636, -73.935255912)"
5496250,04:20:00,03/09/2016,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,"(40.860928316, -73.920308429)"
5499685,19:20:00,03/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.699693597, -73.766488035)"
5499885,14:55:00,03/06/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.768940729, -73.911443572)"
5501450,01:45:00,03/05/2016,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,"(40.745222604, -73.91045017)"
5502521,06:01:00,03/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.820979933, -73.849642388)"
5502652,00:13:00,03/04/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.600205912, -74.121501323)"
5505911,20:00:00,03/01/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.853587401, -73.900591356)"
5512103,17:10:00,02/25/2016,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,"(40.667629873, -73.896254478)"
5515811,16:20:00,02/22/2016,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,"(40.810328321, -73.91476613)"
5516902,22:03:00,02/21/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.608883423, -74.083157189)"
5521978,15:00:00,02/17/2016,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,"(40.636744136, -74.134282972)"
